source_archive,source_frame_id,source_ordinal,image_name,box_count
şeyda.zip,260,261,aa_poh_galeriler/aa_poh_galeriler_g16_019.jpg,6
şeyda.zip,261,262,aa_poh_galeriler/aa_poh_galeriler_g16_020.jpg,1
şeyda.zip,262,263,aa_poh_galeriler/aa_poh_galeriler_g16_021.jpg,1
şeyda.zip,263,264,aa_poh_galeriler/aa_poh_galeriler_g16_022.jpg,0
şeyda.zip,264,265,aa_poh_galeriler/aa_poh_galeriler_g16_023.jpg,0
şeyda.zip,265,266,aa_poh_galeriler/aa_poh_galeriler_g16_024.jpg,0
şeyda.zip,266,267,aa_poh_galeriler/aa_poh_galeriler_g16_025.jpg,0
şeyda.zip,267,268,aa_poh_galeriler/aa_poh_galeriler_g16_026.jpg,0
şeyda.zip,268,269,aa_poh_galeriler/aa_poh_galeriler_g16_027.jpg,0
şeyda.zip,269,270,aa_poh_galeriler/aa_poh_galeriler_g16_028.jpg,0
şeyda.zip,270,271,aa_poh_galeriler/aa_poh_galeriler_g16_029.jpg,0
şeyda.zip,271,272,aa_poh_galeriler/aa_poh_galeriler_g16_030.jpg,0
şeyda.zip,272,273,aa_poh_galeriler/aa_poh_galeriler_g17_000.jpg,0
şeyda.zip,273,274,aa_poh_galeriler/aa_poh_galeriler_g17_001.jpg,0
şeyda.zip,274,275,aa_poh_galeriler/aa_poh_galeriler_g17_002.jpg,0
şeyda.zip,275,276,aa_poh_galeriler/aa_poh_galeriler_g17_003.jpg,0
şeyda.zip,276,277,aa_poh_galeriler/aa_poh_galeriler_g17_004.jpg,0
şeyda.zip,277,278,aa_poh_galeriler/aa_poh_galeriler_g17_005.jpg,0
şeyda.zip,278,279,aa_poh_galeriler/aa_poh_galeriler_g17_006.jpg,0
şeyda.zip,279,280,aa_poh_galeriler/aa_poh_galeriler_g17_007.jpg,0
şeyda.zip,280,281,aa_poh_galeriler/aa_poh_galeriler_g17_008.jpg,0
şeyda.zip,281,282,aa_poh_galeriler/aa_poh_galeriler_g17_009.jpg,0
şeyda.zip,282,283,aa_poh_galeriler/aa_poh_galeriler_g17_010.jpg,0
şeyda.zip,283,284,aa_poh_galeriler/aa_poh_galeriler_g17_011.jpg,0
şeyda.zip,284,285,aa_poh_galeriler/aa_poh_galeriler_g17_012.jpg,0
şeyda.zip,285,286,aa_poh_galeriler/aa_poh_galeriler_g17_013.jpg,0
şeyda.zip,286,287,aa_poh_galeriler/aa_poh_galeriler_g17_014.jpg,0
şeyda.zip,287,288,aa_poh_galeriler/aa_poh_galeriler_g17_015.jpg,0
şeyda.zip,288,289,aa_poh_galeriler/aa_poh_galeriler_g17_016.jpg,0
şeyda.zip,289,290,aa_poh_galeriler/aa_poh_galeriler_g17_017.jpg,0
şeyda.zip,290,291,aa_poh_galeriler/aa_poh_galeriler_g17_018.jpg,0
